,Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
496,495,Technical Writing,Bachelors,62400,89600,38%
497,498,Administrative Management,Bachelors,60900,89500,47%
498,498,Forestry Management,Bachelors,56100,89500,68%
499,500,Automotive Technology & Service Management,Bachelors,63200,89400,29%
500,501,Historic Preservation,Bachelors,48900,89200,-
501,502,Multimedia,Bachelors,52700,89000,44%
502,502,Fashion Marketing & Management,Bachelors,56500,89000,27%
503,504,Organizational Management,Bachelors,57200,88900,61%
504,505,Apparel Merchandising,Bachelors,56700,88800,35%
505,505,Earth Science,Bachelors,58700,88800,52%
506,505,Ethnic Studies,Bachelors,55900,88800,64%
507,508,German Language & Literature,Bachelors,59400,88600,44%
508,508,Radiology,Bachelors,63800,88600,82%
509,508,Zoology,Bachelors,48200,88600,67%
510,511,Human Nutrition,Bachelors,57700,88500,81%
511,512,Agricultural Communication,Bachelors,52400,88400,47%
512,512,Audio Engineering,Bachelors,55500,88400,40%
513,512,Geomatics,Bachelors,59400,88400,64%
514,515,Broadcast Journalism,Bachelors,51100,88300,52%
515,516,Cytotechnology,Bachelors,69100,88100,85%
516,516,Marketing & Advertising,Bachelors,57000,88100,46%
517,518,Applied Management,Bachelors,50600,88000,62%
518,518,Social Studies,Bachelors,56600,88000,53%
519,520,Communication Design,Bachelors,60600,87900,34%
520,520,Romance Languages,Bachelors,59100,87900,57%
521,522,Sociology & Anthropology,Bachelors,53300,87800,53%
522,523,Creative Writing,Bachelors,52800,87700,41%
523,523,Human Resources (HR),Bachelors,55500,87700,55%
524,525,Law Enforcement,Bachelors,55200,87400,64%
525,526,Criminal Justice Administration,Bachelors,53700,87300,61%
526,527,Marine Science,Bachelors,53600,87200,63%
527,527,Training and Development,Bachelors,61300,87200,-
528,529,Advertising & Graphic Design,Bachelors,55100,87100,39%
529,529,Technical & Scientific Communication,Bachelors,59200,87100,36%
530,531,Natural Resources,Bachelors,56000,86800,57%
531,532,Radiologic Technology,Bachelors,64000,86600,82%
532,533,Sports Administration,Bachelors,52500,86500,46%
533,534,Broadcast Communication,Bachelors,48700,86400,47%
534,535,Cultural Anthropology,Bachelors,56400,86300,49%
535,536,Human Resources Development,Bachelors,57000,86100,51%
536,537,Human Relations,Bachelors,53500,86000,59%
537,537,Merchandising,Bachelors,61000,86000,33%
538,537,Environmental Health Science,Bachelors,63000,86000,-
539,540,Communication Management,Bachelors,54400,85900,45%
540,540,Security Management,Bachelors,55500,85900,-
541,542,Administration,Bachelors,49700,85800,60%
542,542,Adult Education & Training,Bachelors,58000,85800,78%
543,542,Health Care Management,Bachelors,53000,85800,74%
544,542,Medical Laboratory Technology,Bachelors,66700,85800,83%
545,546,Multimedia & Web Design,Bachelors,57600,85700,31%
546,546,Psychology,Bachelors,52800,85700,57%
547,548,Visual Communications,Bachelors,52800,85600,34%
548,549,Emergency Management,Bachelors,58900,85500,76%
549,550,Natural Resource Management,Bachelors,54600,85300,53%
550,550,Hotel & Restaurant Management,Bachelors,56400,85300,49%
551,552,Anthropology,Bachelors,55200,85200,46%
552,552,Diagnostic Medical Imaging,Bachelors,70300,85200,74%
553,554,Middle Eastern Studies,Bachelors,67900,85100,46%
554,554,Painting & Printmaking,Bachelors,40500,85100,44%
555,556,Criminology,Bachelors,52200,85000,54%
556,556,New Media,Bachelors,53100,85000,37%
557,558,Psychology & Social Behavior,Bachelors,53300,84900,59%
558,559,Art & Design,Bachelors,53200,84700,39%
559,560,Ecology,Bachelors,54700,84500,58%
560,560,Interior Design,Bachelors,53200,84500,51%
561,560,Multidisciplinary Studies,Bachelors,51500,84500,53%
562,560,Hospitality Management,Bachelors,55400,84500,43%
563,564,Music,Bachelors,52700,84400,55%
564,565,Health Sciences,Bachelors,52300,84300,70%
565,565,Sociology,Bachelors,54700,84300,55%
566,567,Physical Anthropology,Bachelors,57600,84100,-
567,568,Cardiopulmonary Science,Bachelors,58200,84000,92%
568,569,Archaeology,Bachelors,52700,83900,46%
569,569,Life Sciences,Bachelors,61100,83900,62%
570,569,SocialStudies,Bachelors,54200,83900,57%
571,572,Communication Arts,Bachelors,49600,83800,40%
572,573,Health Information Management,Bachelors,57200,83700,68%
573,573,Kinesiology,Bachelors,52600,83700,66%
574,573,Clinical Laboratory Science,Bachelors,63400,83700,82%
575,576,Spanish Language Teacher Education,Bachelors,56700,83600,-
576,577,Child Psychology,Bachelors,50500,83500,61%
577,577,Exercise Physiology,Bachelors,50600,83500,74%
578,577,Respiratory Care,Bachelors,63700,83500,85%
579,580,Art Therapy,Bachelors,47500,83400,83%
580,580,Medical Laboratory Science,Bachelors,64900,83400,86%
581,580,Secondary Education,Bachelors,52100,83400,59%
582,580,Theater,Bachelors,52800,83400,48%
583,584,Hospital Administration,Bachelors,60100,83300,51%
584,584,Practical Nursing,Bachelors,72100,83300,80%
585,586,Health,Bachelors,51000,83200,70%
586,586,Health Care Administration,Bachelors,53400,83200,68%
587,588,Mass Media,Bachelors,47100,82900,46%
588,589,Sustainability,Bachelors,56100,82700,58%
589,590,Radiography,Bachelors,64700,82600,82%
590,591,Media Communication,Bachelors,55000,82500,45%
591,592,Applied Behavior Analysis,Bachelors,44700,82400,88%
592,592,Biological Anthropology,Bachelors,54900,82400,47%
593,592,Hotel & Restaurant Tourism,Bachelors,50200,82400,-
594,592,Respiratory Therapy,Bachelors,63800,82400,84%
595,596,Radio & Television,Bachelors,50100,82100,39%
596,597,Recreation Management,Bachelors,50300,81900,60%
597,598,Humanities,Bachelors,58100,81800,55%
598,599,Computer Art,Bachelors,45400,81600,37%
599,600,Communications Technology,Bachelors,54100,81500,32%
600,600,Psychiatry,Bachelors,65900,81500,-
601,602,Commercial Photography,Bachelors,50400,81300,26%
602,603,Fashion Design & Marketing,Bachelors,55300,81200,50%
603,603,Interdisciplinary Studies (IS),Bachelors,52200,81200,56%
604,603,Web Design,Bachelors,55500,81200,29%
605,606,Legal Studies,Bachelors,55000,81100,52%
606,606,Nutrition & Dietetics,Bachelors,59000,81100,71%
607,608,Plant Sciences,Bachelors,57400,80900,56%
608,609,Graphic Design,Bachelors,52900,80800,38%
609,609,Fine Arts,Bachelors,50400,80800,45%
610,611,Liberal Studies,Bachelors,52800,80700,55%
611,611,Modern Languages,Bachelors,58900,80700,54%
612,613,Religion,Bachelors,51900,80600,56%
613,614,Medical Technology,Bachelors,62800,80500,84%
614,615,Dietetics,Bachelors,59700,80300,73%
615,615,Health Administration,Bachelors,49500,80300,65%
616,615,Missions,Bachelors,46700,80300,-
617,618,Applied Sociology,Bachelors,48900,80100,59%
618,619,Criminal Justice,Bachelors,50000,80000,56%
619,620,Ornamental Horticulture,Bachelors,47400,79800,67%
620,620,Physical Geography,Bachelors,56100,79800,58%
621,622,Landscape Management,Bachelors,61100,79600,-
622,622,Ministry,Bachelors,42700,79600,79%
623,622,Public Health (PH),Bachelors,54000,79600,70%
624,625,Speech-Language Pathology,Bachelors,51400,79400,68%
625,626,Drawing,Bachelors,44300,79300,36%
626,627,Health & Fitness,Bachelors,45300,79200,71%
627,628,Forensic Psychology,Bachelors,49700,79100,57%
628,628,Pastoral Studies,Bachelors,60800,79100,-
629,630,Culture Studies,Bachelors,53500,79000,55%
630,631,Foods & Nutrition,Bachelors,54500,78900,67%
631,631,Women's Studies,Bachelors,52500,78900,60%
632,631,Forensic Accounting,Bachelors,56200,78900,48%
633,634,Animal Science,Bachelors,48300,78800,66%
634,635,Performing Arts,Bachelors,52900,78600,57%
635,636,Education,Bachelors,52200,78500,65%
636,637,African American & African Studies,Bachelors,55900,78400,60%
637,638,Hospitality & Tourism,Bachelors,53200,78200,41%
638,638,Modern Language Spanish,Bachelors,52400,78200,65%
639,640,Arts & Science,Bachelors,53300,77900,-
640,641,Nutrition Science,Bachelors,57800,77800,69%
641,642,Speech Pathology & Audiology,Bachelors,53100,77700,78%
642,643,Media Production,Bachelors,50800,77600,36%
643,643,Small Business Management,Bachelors,54000,77600,36%
644,645,Painting,Bachelors,48500,77500,45%
645,645,Social Science Teacher Education,Bachelors,53100,77500,-
646,645,Network Technology,Bachelors,64100,77500,66%
647,648,Psychology & Sociology,Bachelors,50700,77400,54%
648,649,Music Composition,Bachelors,51200,77300,53%
649,649,Video Production,Bachelors,48900,77300,33%
650,651,Dramatic Art,Bachelors,50000,76700,-
651,652,Mortuary Science,Bachelors,49100,76600,80%
652,652,Technical Theatre,Bachelors,48000,76600,42%
653,654,Family & Consumer Science,Bachelors,51300,76500,61%
654,654,Radio Broadcasting,Bachelors,53100,76500,41%
655,654,Theology,Bachelors,51800,76500,67%
656,657,Health Studies,Bachelors,50900,76400,64%
657,658,Consumer Affairs,Bachelors,59500,76200,44%
658,659,Vocal Performance,Bachelors,49900,76100,63%
659,660,Art,Bachelors,51000,76000,46%
660,661,Behavioral Science,Bachelors,50800,75900,61%
661,661,Health Services Administration,Bachelors,50100,75900,64%
662,663,General Studies,Bachelors,51300,75800,54%
663,663,Photography,Bachelors,51300,75800,39%
664,665,Exercise & Sports Science,Bachelors,49500,75700,70%
665,665,Forensic Science,Bachelors,53600,75700,62%
666,665,History Teacher Education,Bachelors,53000,75700,48%
667,668,International Trade,Bachelors,55700,75600,44%
668,669,Restaurant & Food Service Management,Bachelors,50600,75500,40%
669,670,Health & Physical Education Teaching,Bachelors,46600,75300,63%
670,671,Justice Studies,Bachelors,53800,75200,50%
671,672,Tourism & Travel,Bachelors,46700,75100,38%
672,673,Culinary Arts,Bachelors,47800,74900,56%
673,673,Physical Education Teaching,Bachelors,49700,74900,69%
674,675,Physical Therapist Assistant Studies,Bachelors,56800,74800,-
675,676,Graphic Arts,Bachelors,49800,74600,45%
676,677,Interior Design & Merchandising,Bachelors,51700,74300,43%
677,677,Supervision & Management,Bachelors,49500,74300,60%
678,679,Event Management,Bachelors,49800,74100,41%
679,679,Health & Wellness,Bachelors,46800,74100,69%
680,679,Music Industry,Bachelors,54500,74100,37%
681,682,Clinical Psychology,Bachelors,49300,74000,66%
682,682,Recreation Administration,Bachelors,55500,74000,64%
683,684,Health & Exercise Science,Bachelors,48300,73900,66%
684,684,Physical Education & Exercise Science,Bachelors,52600,73900,71%
685,686,Recreation & Leisure Studies,Bachelors,48400,73800,60%
686,687,Ceramics,Bachelors,51100,73700,46%
687,687,Culinary Arts & Food Service Management,Bachelors,49800,73700,47%
688,689,Secondary English Teacher Education,Bachelors,51700,73600,62%
689,690,Family & Community Services,Bachelors,49700,73500,75%
690,691,Instrumental Music Teacher Education,Bachelors,51100,73200,69%
691,692,Health Services Management,Bachelors,48900,73100,87%
692,693,Exercise Science,Bachelors,48900,72900,72%
693,693,English Teacher Education,Bachelors,50300,72900,58%
694,693,Paralegal Studies,Bachelors,47300,72900,49%
695,696,Audio Production,Bachelors,51300,72600,44%
696,697,Community Health,Bachelors,54300,72400,72%
697,697,Photojournalism,Bachelors,48200,72400,55%
698,699,Fashion & Retail Management,Bachelors,57300,72300,31%
699,700,Dance,Bachelors,51800,72000,60%
700,701,Conservation Biology,Bachelors,49400,71600,53%
701,702,Parks & Recreation Management,Bachelors,49700,71500,60%
702,703,Deaf Studies,Bachelors,43300,71300,-
703,703,Music Teacher Education,Bachelors,49600,71300,58%
704,703,Tourism Management,Bachelors,51400,71300,39%
705,706,Teaching English as a Second Language (ESL),Bachelors,49900,70900,65%
706,707,Organizational Administration,Bachelors,52600,70700,-
707,708,Wildlife Biology,Bachelors,50200,70400,57%
708,709,Educational Studies (ED),Bachelors,46900,70300,66%
709,709,Elementary Special Education,Bachelors,52500,70300,82%
710,711,Horticulture,Bachelors,49900,70100,56%
711,712,Gender Studies,Bachelors,52700,70000,54%
712,712,Landscape Design,Bachelors,57900,70000,70%
713,712,Wildlife Management,Bachelors,45800,70000,46%
714,715,Community Development,Bachelors,53000,69600,70%
715,715,Emergency Medical Services (EMS),Bachelors,48100,69600,-
716,717,Biblical Studies & Practical Ministries,Bachelors,44300,69200,-
717,717,Community Health Education,Bachelors,50100,69200,69%
718,717,Recording Arts,Bachelors,53400,69200,56%
719,720,Health Promotion,Bachelors,49500,69000,71%
720,720,Social Studies Teacher Education,Bachelors,50900,69000,62%
721,722,Athletic Training,Bachelors,49100,68900,75%
722,722,Pastoral Ministry,Bachelors,45800,68900,75%
723,724,Communication Sciences & Disorders,Bachelors,52000,68700,74%
724,725,Speech & Hearing,Bachelors,53200,68600,70%
725,726,Sculpture,Bachelors,46000,68200,49%
726,727,Church Ministries,Bachelors,43300,67400,80%
727,728,Biblical Studies,Bachelors,48400,67300,69%
728,729,Horticulture & Agronomy,Bachelors,60700,67200,-
729,730,Bible Studies & Theology,Bachelors,46300,67000,68%
730,731,Human Development & Family Studies,Bachelors,47000,66400,64%
731,732,Family Studies,Bachelors,46300,66100,59%
732,732,Legal Assistant Studies,Bachelors,43300,66100,39%
733,734,Christian Ministry,Bachelors,44300,65200,75%
734,735,Health and Human Services,Bachelors,50600,65100,65%
735,735,Voice & Opera,Bachelors,39600,65100,52%
736,737,Home Economics,Bachelors,49200,65000,69%
737,737,Special Education,Bachelors,48400,65000,74%
738,739,Music Therapy,Bachelors,49400,64900,95%
739,740,Rehabilitation Services,Bachelors,43600,64700,76%
740,741,Developmental Psychology,Bachelors,44200,63700,-
741,741,Youth Ministry,Bachelors,44000,63700,76%
742,743,Educational Psychology,Bachelors,48100,63600,-
743,744,Community & Human Services,Bachelors,49500,63200,79%
744,744,Therapeutic Recreation,Bachelors,46700,63200,83%
745,746,Social Work (SW),Bachelors,45000,63000,77%
746,747,Elementary Education,Bachelors,47300,62500,68%
747,748,Office Administration,Bachelors,45600,62300,68%
748,749,Christian Education,Bachelors,47200,62200,84%
749,750,Human Services (HS),Bachelors,45800,61400,71%
750,751,Child Development,Bachelors,43400,60400,74%
751,752,Middle School Education,Bachelors,49900,60200,76%
752,753,Recreational Therapy,Bachelors,45700,58900,82%
753,754,Early Childhood & Elementary Education,Bachelors,44900,58000,77%
754,755,Outdoor Education,Bachelors,43400,56900,47%
755,756,Baking & Pastry Arts,Bachelors,43700,56500,38%
756,757,Child & Family Studies,Bachelors,42900,55300,73%
757,758,Mental Health,Bachelors,44100,54500,79%
758,759,Equine Studies,Bachelors,42300,54100,50%
759,760,Nonprofit Administration,Bachelors,43900,53700,73%
760,761,Addictions Counseling,Bachelors,47300,52400,78%
761,762,Early Childhood Education,Bachelors,43400,52200,78%
762,763,Metalsmithing,Bachelors,45900,46600,36%
