,Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
110,111,Marketing & International Business,Bachelors,62100,127200,40%
111,112,Biochemistry & Molecular Biology,Bachelors,64000,127000,71%
112,112,Information Systems Management,Bachelors,72600,127000,49%
113,114,Business Information Systems,Bachelors,75500,126600,45%
114,114,Mathematics,Bachelors,74900,126600,44%
115,116,Information Security & Assurance,Bachelors,70600,126400,46%
116,117,Civil Engineering (CE),Bachelors,75800,126100,65%
117,118,Construction Management,Bachelors,74200,125900,59%
118,119,Polymer Science & Engineering,Bachelors,86100,125800,-
119,120,International Management,Bachelors,67500,125700,-
120,121,Applied Economics,Bachelors,71900,125600,41%
121,121,Construction Science,Bachelors,79800,125600,69%
122,121,Economics & Political Science,Bachelors,66100,125600,49%
123,124,Political Communication,Bachelors,59300,125500,52%
124,125,Aeronautical Science,Bachelors,64900,125300,64%
125,125,Control Engineering,Bachelors,80000,125300,61%
126,127,Russian Studies,Bachelors,57900,125200,40%
127,128,Business Economics,Bachelors,68600,125100,45%
128,129,Civil & Environmental Engineering,Bachelors,75900,124900,65%
129,130,Business Computer Information Systems (BCIS),Bachelors,76500,124500,38%
130,131,Cybersecurity,Bachelors,74800,124400,56%
131,132,Engineering Management,Bachelors,79400,124200,50%
132,132,Information Systems (IS),Bachelors,75300,124200,45%
133,132,Manufacturing Engineering,Bachelors,79800,124200,50%
134,132,Real Estate,Bachelors,71400,124200,43%
135,136,Building Construction Management,Bachelors,73600,124100,68%
136,137,Plastics Engineering Technology,Bachelors,75000,124000,30%
137,138,International Marketing,Bachelors,67500,123700,21%
138,139,Aviation,Bachelors,67500,123000,54%
139,139,Biosystems Engineering,Bachelors,74800,123000,70%
140,141,Data Processing,Bachelors,75900,122800,43%
141,141,Food Marketing,Bachelors,67100,122800,30%
142,143,Computer Science & Information Technology,Bachelors,76300,122500,49%
143,144,Agricultural Economics,Bachelors,62400,122400,59%
144,144,Management & Finance,Bachelors,66100,122400,61%
145,144,Strategic Management,Bachelors,76400,122400,50%
146,147,Computer Management Information Systems (CMIS),Bachelors,65800,122300,48%
147,148,Organic Chemistry,Bachelors,51400,122200,-
148,149,Finance,Bachelors,70800,122000,42%
149,150,Financial Planning,Bachelors,63300,121900,59%
150,151,Web Development,Bachelors,64600,121700,41%
151,152,European Studies,Bachelors,62700,121600,42%
152,153,Construction Engineering,Bachelors,78300,121300,61%
153,154,International Relations,Bachelors,62900,121200,49%
154,155,Molecular Biology,Bachelors,64300,121100,67%
155,155,International Business,Bachelors,65100,121100,40%
156,157,Computer Information Systems (CIS),Bachelors,71700,121000,48%
157,158,Information Security,Bachelors,76400,120700,40%
158,158,Japanese Language,Bachelors,62100,120700,39%
159,160,East Asian Studies,Bachelors,60100,120400,50%
160,161,Economics & Management,Bachelors,62800,120100,-
161,162,European History,Bachelors,62700,120000,39%
162,163,Agricultural Engineering (AE),Bachelors,73500,119900,60%
163,164,Architectural Engineering,Bachelors,76400,119800,58%
164,164,Entrepreneurship & Leadership,Bachelors,67000,119800,42%
165,164,Computing,Bachelors,73400,119800,56%
166,167,Information Technology Management,Bachelors,74100,119700,50%
167,168,Electrical Engineering Technology (EET),Bachelors,76100,119600,49%
168,169,Chinese Language,Bachelors,62700,119500,42%
169,170,Business Finance,Bachelors,67100,119400,44%
170,171,Sales & Business Marketing,Bachelors,67000,119300,53%
171,172,Safety Science,Bachelors,72600,119200,67%
172,173,Corporate Finance,Bachelors,74500,119100,40%
173,174,Industrial Distribution,Bachelors,73600,118900,48%
174,175,Computer Engineering Technology (CET),Bachelors,72900,118800,44%
175,176,Dairy Science,Bachelors,60100,118300,68%
176,177,Japanese Studies,Bachelors,59700,118100,18%
177,178,Network Engineering,Bachelors,71500,118000,51%
178,179,Environmental Engineering,Bachelors,72600,117700,61%
179,180,Accounting & Taxation,Bachelors,60000,117500,-
180,181,Robotics,Bachelors,91100,117400,57%
181,182,Biotechnology,Bachelors,63000,116900,61%
182,183,Accounting & Finance,Bachelors,69100,116700,46%
